formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C18H20O10,[M - H]-,C18H19O10-,Terpenoids,0.997,Sesquiterpenoids,0.879,Prezizaane sesquiterpenoids,0.139,Lipids and lipid-like molecules,0.88,Prenol lipids,0.887,Terpene lactones,0.919,Diterpene lactones,0.783,Diterpene lactones,0.783,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Diterpene lactones; Diterpenoids; Acetals; Secondary alcohols; Tertiary alcohols; Furofurans; Carbonyl compounds; Tricarboxylic acids and derivatives; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,395.1,233,3.887,7.35182E+17,7.35171E+17,23069,
1,C17H20O7,[M - H]-,C17H19O7-,Terpenoids,0.999,Sesquiterpenoids,0.982,Picrotoxane sesquiterpenoids,0.997,Organoheterocyclic compounds,1,Furopyrans,0.948,,,,,Furopyrans,0.948,Organic compounds; Organoheterocyclic compounds; Lactones; Furans; Pyrans; Alcohols and polyols; Epoxides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Gamma butyrolactones; Cyclic alcohols and derivatives; Tertiary alcohols; Oxepanes; Furopyrans; Carbonyl compounds; Oxanes; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,335.115,239,3.985,7.35182E+17,7.35171E+17,23092,
1,C19H26O9,[M - H]-,C19H25O9-,Terpenoids,0.969,Sesquiterpenoids,0.756,Prezizaane sesquiterpenoids,0.377,Lipids and lipid-like molecules,0.691,Prenol lipids,0.62,Terpene lactones,0.51,,,Terpene lactones,0.51,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Oxanes; Polyols; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,397.152,242,4.032,7.35183E+17,7.35171E+17,23093,
1,C9H12BNO4S,[M - H]-,C9H11BNO4S-,Amino acids and Peptides,0.834,Small peptides,0.983,Aminoacids,0.971,Organic acids and derivatives,1,Carboxylic acids and derivatives,0.801,"Amino acids, peptides, and analogues",0.854,Amino acids and derivatives,0.856,Alpha amino acids,0.698,"Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Benzenesulfonamides; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Boronic acids; Organometallic compounds; Monoalkylamines; Boronic acid derivatives; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organometalloid compounds; Organosulfonamides; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Organoboron compounds; Aminosulfonyl compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Amino acids; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",239.055,235,3.92,7.35182E+17,7.35171E+17,23094,
1,C18H33NO4S,[M - H]-,C18H32NO4S-,Fatty acids,0.997,Fatty amides,0.747,N-acyl amines,0.134,Lipids and lipid-like molecules,0.933,Fatty Acyls,0.94,Fatty acids and conjugates,0.632,,,Fatty acids and conjugates,0.632,Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,358.208,238,3.964,7.35182E+17,7.35171E+17,23105,
1,C30H45N3O5,[M - H]-,C30H44N3O5-,Amino acids and Peptides,0.497,Oligopeptides,0.248,Cyclic peptides,0.068,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.995,Amino acids and derivatives,0.994,Carbamate esters,0.831,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Carbamic acids and derivatives; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carbamate esters; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",526.327,235,3.912,7.35182E+17,7.35171E+17,23106,
1,C10H16O4S,[M - H]-,C10H15O4S-,Terpenoids,1,Monoterpenoids,0.993,Camphane monoterpenoids,0.042,Lipids and lipid-like molecules,0.999,Prenol lipids,0.999,Monoterpenoids,0.999,Bicyclic monoterpenoids,0.998,Bicyclic monoterpenoids,0.998,Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Monoterpenoids; Bicyclic monoterpenoids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities,231.071,235,3.914,7.35182E+17,7.35171E+17,23108,
1,C20H24O9,[M - H]-,C20H23O9-,Terpenoids,0.995,Sesquiterpenoids,0.725,Picrotoxane sesquiterpenoids,0.229,Lipids and lipid-like molecules,0.837,Prenol lipids,0.793,Terpene lactones,0.847,Diterpene lactones,0.717,Diterpene lactones,0.717,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Diterpene lactones; Diterpenoids; Secondary alcohols; Tertiary alcohols; Oxepanes; Carbonyl compounds; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,407.136,241,4.008,7.35183E+17,7.35171E+17,23115,
1,C19H24O12,[M - H]-,C19H23O12-,Terpenoids,0.99,Sesquiterpenoids,0.665,Prezizaane sesquiterpenoids,0.06,Lipids and lipid-like molecules,0.92,Prenol lipids,0.942,Terpene lactones,0.978,Diterpene lactones,0.97,Diterpene lactones,0.97,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Diterpene lactones; Diterpenoids; Acetals; Secondary alcohols; Tertiary alcohols; Furofurans; Carbonyl compounds; Tricarboxylic acids and derivatives; Polyols; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,443.121,236,3.928,7.35182E+17,7.35171E+17,23119,
1,C23H42N4O5,[M - H]-,C23H41N4O5-,Alkaloids,0.384,Macrolides,0.229,Cyclic peptides,0.083,Organic acids and derivatives,0.897,Carboxylic acids and derivatives,0.769,Carboxylic acid derivatives,0.844,Carboxylic acid amides,0.859,Secondary carboxylic acid amides,0.611,"Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Cyclic alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Tertiary alcohols; Carbonyl compounds; Polyols; Amines; 1,2-diols; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",453.31,238,3.962,7.35182E+17,7.35171E+17,23134,
1,C17H20N2O6,[M - H]-,C17H19N2O6-,Alkaloids,0.979,Nicotinic acid alkaloids,0.95,Pyridine alkaloids,0.95,Organoheterocyclic compounds,1,Pyridines and derivatives,0.985,Methylpyridines,0.604,,,Methylpyridines,0.604,Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Alcohols and polyols; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,347.126,236,3.929,7.35182E+17,7.35171E+17,23137,
1,C22H28O13,[M - H]-,C22H27O13-,Terpenoids,0.655,Sesquiterpenoids,0.245,Open-chain polyketides,0.054,Lipids and lipid-like molecules,0.775,Prenol lipids,0.693,Terpene lactones,0.807,Diterpene lactones,0.626,Diterpene lactones,0.626,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Diterpene lactones; Secondary alcohols; Tertiary alcohols; Furofurans; Carbonyl compounds; Tricarboxylic acids and derivatives; Polyols; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,499.148,238,3.962,7.35182E+17,7.35171E+17,23144,
1,C35H57N3O4,[M - H]-,C35H56N3O4-,Amino acids and Peptides,0.593,Fatty amides,0.184,Tripeptides,0.663,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.998,"Amino acids, peptides, and analogues",0.997,Peptides,0.751,Peptides,0.751,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",582.427,234,3.904,7.35182E+17,7.35171E+17,23145,
1,C23H41N3O8,[M - H]-,C23H40N3O8-,Amino acids and Peptides,0.27,Fatty amides,0.159,N-acyl amines,0.33,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.793,Amino acids and derivatives,0.769,Gamma amino acids and derivatives,0.618,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Gamma amino acids and derivatives; Methyl-branched fatty acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",486.284,240,3.998,7.35182E+17,7.35171E+17,23146,
1,C15H20NO5,[M - H]-,C15H19NO5-,Terpenoids,0.254,Sesquiterpenoids,0.14,3-Spirotetramic acids,0.038,Organic oxygen compounds,1,Organooxygen compounds,1,Alcohols and polyols,0.662,Tertiary alcohols,0.721,Tertiary alcohols,0.721,Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Tertiary alcohols; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,293.129,236,3.937,7.35182E+17,7.35171E+17,23147,
1,C34H55N11O10S,[M - H]-,C34H54N11O10S-,Amino acids and Peptides,0.991,Oligopeptides,0.998,Cyclic peptides,0.666,Organic Polymers,0.542,Polypeptides,0.571,,,,,Polypeptides,0.571,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Azoles; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Substituted imidazoles; Benzenoids; Amines; Primary amines; Organic Polymers; Polypeptides; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Methionine and derivatives; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Phenylalanine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",808.377,236,3.93,7.35182E+17,7.35171E+17,23148,
1,C21H25ClN2O7,[M - H]-,C21H24ClN2O7-,Polyketides,0.948,Chromanes,0.11,Azaphilones,0.14,Organic acids and derivatives,0.935,Carboxylic acids and derivatives,0.887,"Amino acids, peptides, and analogues",0.795,Amino acids and derivatives,0.794,Amino acids and derivatives,0.794,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Ketones; Alcohols and polyols; 1,3-dicarbonyl compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary alcohols; Secondary carboxylic acid amides; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Cyclic ketones; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",451.126,232,3.862,7.35182E+17,7.35171E+17,23149,
1,C21H38N4O6,[M - H]-,C21H37N4O6-,Polyketides,0.427,Macrolides,0.084,Erythromycins,0.102,Organic acids and derivatives,0.984,Carboxylic acids and derivatives,0.904,Carboxylic acid derivatives,0.922,Carboxylic acid amides,0.899,Secondary carboxylic acid amides,0.865,Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Cyclic alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Tertiary alcohols; Carbonyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Cyclic ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,441.274,231,3.853,7.35182E+17,7.35171E+17,23165,
1,C22H24O11,[M - H]-,C22H23O11-,Terpenoids,0.992,Diterpenoids,0.582,Picrotoxane sesquiterpenoids,0.12,Lipids and lipid-like molecules,0.814,Prenol lipids,0.517,Terpene lactones,0.633,Diterpene lactones,0.701,Diterpene lactones,0.701,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Alcohols and polyols; Epoxides; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Diterpene lactones; Secondary alcohols; Tertiary alcohols; Oxepanes; Carbonyl compounds; Oxanes; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,463.127,238,3.966,7.35182E+17,7.35171E+17,23179,
1,C14H18O7,[M - H]-,C14H17O7-,Terpenoids,0.933,Sesquiterpenoids,0.747,Maleidrides,0.188,Lipids and lipid-like molecules,0.544,Prenol lipids,0.599,Terpene lactones,0.749,,,Terpene lactones,0.749,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Furofurans; Carbonyl compounds; Tricarboxylic acids and derivatives; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,297.099,232,3.861,7.35182E+17,7.35171E+17,23181,
1,C21H26O13,[M - H]-,C21H25O13-,Terpenoids,0.574,Sesquiterpenoids,0.388,Macrolide lactones,0.033,Lipids and lipid-like molecules,0.669,Prenol lipids,0.6,Terpene lactones,0.766,Diterpene lactones,0.577,Diterpene lactones,0.577,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Diterpene lactones; Secondary alcohols; Tertiary alcohols; Furofurans; Carbonyl compounds; Tricarboxylic acids and derivatives; Polyols; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,485.132,235,3.922,7.35182E+17,7.35171E+17,23187,
1,C15H20N3O3S2,[M - H]-,C15H19N3O3S2-,Terpenoids,0.974,Monoterpenoids,0.161,Menthane monoterpenoids,0.01,Lipids and lipid-like molecules,0.862,Prenol lipids,0.902,Monoterpenoids,0.591,Bicyclic monoterpenoids,0.511,Bicyclic monoterpenoids,0.511,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Monoterpenoids; Bicyclic monoterpenoids; Secondary carboxylic acid amides; Carbonyl compounds; Sulfenyl compounds; Cyclic ketones; Dialkylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,353.089,231,3.846,7.35182E+17,7.35171E+17,23199,
1,C19H28O10,[M - H]-,C19H27O10-,Terpenoids,0.452,Linear polyketides,0.314,Open-chain polyketides,0.326,Lipids and lipid-like molecules,0.9,Fatty Acyls,0.742,Fatty acids and conjugates,0.72,Branched fatty acids,0.633,Methyl-branched fatty acids,0.608,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Heterocyclic fatty acids; Polyols; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,415.162,240,3.997,7.35182E+17,7.35171E+17,23201,
1,C9H13F2O,[M - H]-,C9H12F2O-,Fatty acids,0.931,Fatty Acids and Conjugates,0.926,Halogenated fatty acids,0.69,Lipids and lipid-like molecules,0.826,Fatty Acyls,0.811,Fatty acids and conjugates,0.832,Medium-chain fatty acids,0.594,Medium-chain fatty acids,0.594,Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Halogenated fatty acids; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Alkyl halides; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,174.086,237,3.944,7.35182E+17,7.35171E+17,23207,
1,C24H44N4O7,[M - H]-,C24H43N4O7-,Alkaloids,0.892,Guanidine alkaloids,0.454,Erythromycins,0.057,Organic oxygen compounds,1,Organooxygen compounds,1,Alcohols and polyols,0.974,Tertiary alcohols,0.613,Tertiary alcohols,0.613,"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Guanidines; Carboxylic acid derivatives; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",499.316,243,4.049,7.35183E+17,7.35171E+17,23217,
1,C16H22O7,[M - H]-,C16H21O7-,Terpenoids,0.969,Sesquiterpenoids,0.92,Prezizaane sesquiterpenoids,0.463,Lipids and lipid-like molecules,0.7,Prenol lipids,0.599,Terpene lactones,0.585,,,Terpene lactones,0.585,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,325.131,234,3.906,7.35182E+17,7.35171E+17,23223,
1,C20H30O9,[M - H]-,C20H29O9-,Terpenoids,0.462,Linear polyketides,0.21,Open-chain polyketides,0.251,Lipids and lipid-like molecules,0.669,Fatty Acyls,0.416,Fatty acids and conjugates,0.561,Heterocyclic fatty acids,0.542,Heterocyclic fatty acids,0.542,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Heterocyclic fatty acids; Oxanes; Tetrahydrofurans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,413.183,232,3.869,7.35182E+17,7.35171E+17,23224,
1,C26H28N4O4S2,[M - H]-,C26H27N4O4S2-,Terpenoids,0.561,Macrolides,0.113,Limonoids,0.041,Organoheterocyclic compounds,1,Azoles,0.88,,,,,Azoles,0.88,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Ketones; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Thioethers; Carbonyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,523.148,238,3.963,7.35182E+17,7.35171E+17,23228,
1,C21H39N3O6,[M - H]-,C21H38N3O6-,Amino acids and Peptides,0.661,Aminosugars and aminoglycosides,0.692,Tripeptides,0.789,Organic acids and derivatives,1,Peptidomimetics,0.408,Hybrid peptides,0.586,,,Hybrid peptides,0.586,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Gamma amino acids and derivatives; Hybrid peptides; Alpha amino acid amides; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Alanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities",428.278,236,3.93,7.35182E+17,7.35171E+17,23234,
1,C13H23NO4,[M - H]-,C13H22NO4-,Fatty acids,0.993,Fatty amides,0.919,N-acyl amines,0.666,Lipids and lipid-like molecules,0.99,Fatty Acyls,0.993,Fatty amides,0.956,N-acyl amines,0.899,N-acyl amines,0.899,Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Keto acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,256.157,237,3.947,7.35182E+17,7.35171E+17,23263,
